Compound,Formula,IsotopeLabel,360min
acetyl-coa,C23H39N7O17P3S,C12 PARENT,7.12457399255692
acetyl-coa,C23H39N7O17P3S,C13-label-1,2.19712317317349
acetyl-coa,C23H39N7O17P3S,C13-label-2,8.34842536243061
acetyl-coa,C23H39N7O17P3S,C13-label-3,2.26111562304151
acetyl-coa,C23H39N7O17P3S,C13-label-4,0.208276187024454
acetyl-coa,C23H39N7O17P3S,C13-label-5,3.8656395798888
acetyl-coa,C23H39N7O17P3S,C13-label-6,1.89851641569805
acetyl-coa,C23H39N7O17P3S,C13-label-7,4.99894211799235
acetyl-coa,C23H39N7O17P3S,C13-label-8,1.85332381857933
acetyl-coa,C23H39N7O17P3S,C13-label-9,0.796301992755444
acetyl-coa,C23H39N7O17P3S,C13-label-10,0.165828247958006
acetyl-coa,C23H39N7O17P3S,C13-label-11,0.329161562634864
acetyl-coa,C23H39N7O17P3S,C13-label-12,0.225095165094794
acetyl-coa,C23H39N7O17P3S,C13-label-13,0.00366426499689
acetyl-coa,C23H39N7O17P3S,C13-label-14,0
acetyl-coa,C23H39N7O17P3S,C13-label-15,0.001799563161894
acetyl-coa,C23H39N7O17P3S,C13-label-16,0.001349376423385
acetyl-coa,C23H39N7O17P3S,C13-label-17,0.016268748111678
acetyl-coa,C23H39N7O17P3S,C13-label-18,0.004292100592116
acetyl-coa,C23H39N7O17P3S,C13-label-19,0.019226378090814
acetyl-coa,C23H39N7O17P3S,C13-label-20,0
acetyl-coa,C23H39N7O17P3S,C13-label-21,0
acetyl-coa,C23H39N7O17P3S,C13-label-22,0
acetyl-coa,C23H39N7O17P3S,C13-label-23,0
