time,No Label,01C13,02C13,03C13,04C13,05C13,06C13,07C13,08C13,09C13,10C13,11C13,12C13,13C13,14C13,15C13,16C13,17C13,18C13,19C13,20C13,21C13,22C13,23C13
0min,27.56066636467391,0.0,0.0,0.0,0.0,0.007415743441624616,0.0,0.0,0.009778087522426237,0.007785629444380123,0.0,0.03445139294463389,0.040098615576696826,0.0,0.0,0.0032547487961151044,0.018717122563769978,0.05261226859956771,0.028438000047782356,0.11268674118146482,0.0,0.005772608892182814,0.009389072399224551,0.0
0min,30.549991320770577,0.0,0.0,0.0,0.0,0.023396516536512164,0.003358512060502612,0.02307711118245154,0.0,0.0,0.0,0.08684055463712129,0.09930841664989105,0.0,0.0,0.0,0.0,0.023858539577077283,0.0,0.09296448412274046,0.0,0.0013326004743059467,0.0,0.0
0min,35.40485350631003,0.0,0.0,0.0,0.0,0.0,0.005582387389103889,0.013612789542461255,0.008402987777277604,0.0009126638392896885,0.0,0.039342222906689664,0.08041127602838172,0.0,0.0,0.0,0.0,0.06579094030027582,0.03180527843076862,0.1369530067921745,0.009770258911119078,0.0,0.0021088184293131937,0.0
120min,14.238856451061643,0.0,7.742334422741952,0.0,0.0,0.6149928329875911,0.15010885214671524,0.7322290720464416,0.15046411178161537,0.0,0.0,0.14460656958304377,0.05963491023079706,0.0,0.0,9.958070389523274e-05,0.0007133467298907388,0.022637725963909804,0.01403244314148142,0.05599830517849758,0.0,0.0,0.0,0.0
120min,14.163784544865402,0.0,6.4691255458880255,0.0,0.0,0.44343659109465966,0.0,0.3902045866843984,0.1989226225592019,0.7206911627701746,0.0,0.09706675579647737,0.0,0.5943872626189053,0.0,0.5729754419864755,0.1301742368571017,0.09561873572509236,0.03080010826892549,0.04989660612111289,0.0,0.7684207238765337,0.3690974713297987,0.0
120min,14.163961353101165,0.0,8.047570286204277,0.0,0.0,0.7108132712434192,0.009535806768929244,0.5087715573099973,0.02928550520735705,0.0,0.0,0.1412201671620655,0.1263290142895826,0.0,0.0,0.008094052202814676,0.009979923269941335,0.029347296257561193,0.012001266050505558,0.11561853431656337,0.0,0.0,0.0027327706796111827,0.0
1440min,2.395156345491583,0.0,5.881248530662782,0.056487230899322116,0.8751412369273779,10.671727832353932,12.116589830274119,40.781552728359465,32.68599942427278,15.108720154927488,6.3330376213191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014384078318173212,0.0,0.0,0.0,0.0
1440min,2.0244140544027287,0.0786544943179066,4.1761335630660374,0.0,1.0133405818685743,13.960593776958353,12.013330763425776,37.62783556902621,23.9314352343087,9.961289940590346,4.513849975349931,0.0,0.0,0.0,0.0,0.03595492194334488,0.0,0.0022446829852541083,0.0,0.004817891841119586,0.004191505025635552,0.0,0.0,0.0
1440min,2.067066668304404,0.0,5.576535997050859,0.0,1.2355321976003129,16.19623646230444,14.965741735314447,48.368455989392764,33.46408547759433,15.076172771854653,6.8276261219285255,0.0,0.0,0.0,0.0,0.09943670359641499,0.028606642609519277,0.019424340956598198,0.009811989118075036,0.0,0.0,0.004104919000734265,0.0,0.0
15min,28.318447257448494,0.0,1.412292497797376,0.0,0.0,0.0,0.0,0.00020686552937424255,0.0020688097459118002,0.0002619840422152148,0.0009486221895003567,0.11675653522782539,0.09152621395140788,0.0,0.0,0.002092131332368263,0.0013057937631369611,0.05449973492262877,0.020789034073478468,0.1116823961744663,0.0,0.0,0.0,0.0
