"","360min"
"acetylCoA_0",10.33084406
"acetylCoA_1",0.15968985
"acetylCoA_2",10.47112908
"acetylCoA_3",0
"acetylCoA_4",0
"acetylCoA_5",5.05116153
"acetylCoA_6",1.32802358
"acetylCoA_7",5.87855805
"acetylCoA_8",0.95550312
"acetylCoA_9",0.20627172
"acetylCoA_10",0
"acetylCoA_11",0.35867651
"acetylCoA_12",0.20152626
"acetylCoA_13",0
"acetylCoA_14",0
"acetylCoA_15",0
"acetylCoA_16",0.00085186
"acetylCoA_17",0.01945654
"acetylCoA_18",0.00275771
"acetylCoA_19",0.02045847
"acetylCoA_20",0
"acetylCoA_21",0
"acetylCoA_22",0
"acetylCoA_23",0
