"","360min"
"acetylCoA_0",0.295294301176951
"acetylCoA_1",0.00456453532614858
"acetylCoA_2",0.299304173623569
"acetylCoA_3",0
"acetylCoA_4",0
"acetylCoA_5",0.144381156609313
"acetylCoA_6",0.0379598987967507
"acetylCoA_7",0.168031254873369
"acetylCoA_8",0.027311865754055
"acetylCoA_9",0.00589602002084308
"acetylCoA_10",0
"acetylCoA_11",0.0102523209869299
"acetylCoA_12",0.00576037696144497
"acetylCoA_13",0
"acetylCoA_14",0
"acetylCoA_15",0
"acetylCoA_16",2.43493563487781e-05
"acetylCoA_17",0.0005561409454303
"acetylCoA_18",7.88257031631828e-05
"acetylCoA_19",0.000584779865683078
"acetylCoA_20",0
"acetylCoA_21",0
"acetylCoA_22",0
"acetylCoA_23",0
