"","360min"
"acetylCoA_0",0.00032731
"acetylCoA_1",0.04323042
"acetylCoA_2",-0.00638961
"acetylCoA_3",Inf
"acetylCoA_4",Inf
"acetylCoA_5",-3.48e-06
"acetylCoA_6",4.667e-05
"acetylCoA_7",6.065e-05
"acetylCoA_8",-0.0015879
"acetylCoA_9",-0.02280938
"acetylCoA_10",-Inf
"acetylCoA_11",-0.00911337
"acetylCoA_12",-0.04945564
"acetylCoA_13",Inf
"acetylCoA_14",-Inf
"acetylCoA_15",Inf
"acetylCoA_16",0.00795905
"acetylCoA_17",0.0010377
"acetylCoA_18",-0.05101697
"acetylCoA_19",-0.01424789
"acetylCoA_20",Inf
"acetylCoA_21",Inf
"acetylCoA_22",Inf
"acetylCoA_23",Inf
