"","360min"
"acetylCoA_0",0.0033814
"acetylCoA_1",0.00690346
"acetylCoA_2",-0.06690648
"acetylCoA_3",-0.04822185
"acetylCoA_4",0.69105009
"acetylCoA_5",-1.759e-05
"acetylCoA_6",6.198e-05
"acetylCoA_7",0.00035653
"acetylCoA_8",-0.00151724
"acetylCoA_9",-0.00470493
"acetylCoA_10",0.02542726
"acetylCoA_11",-0.00326875
"acetylCoA_12",-0.00996661
"acetylCoA_13",0.05003854
"acetylCoA_14",0.01888642
"acetylCoA_15",0.00131317
"acetylCoA_16",6.78e-06
"acetylCoA_17",2.019e-05
"acetylCoA_18",-0.00014069
"acetylCoA_19",-0.00029149
"acetylCoA_20",0.00186146
"acetylCoA_21",0.00151195
"acetylCoA_22",0.00012764
"acetylCoA_23",4.673e-05
