time,compound,replicate,No Label,01C13,02C13,03C13,04C13,05C13,06C13,07C13,08C13,09C13,10C13,11C13,12C13,13C13,14C13,15C13,16C13,17C13,18C13,19C13,20C13,21C13,22C13,23C13
0min,AcetylCoA,1,13414623,3843971.926,28534.66095,4916.250851,4639.495487,3808.933664,0,0,5273.683543,5442.973509,0,19476.60713,26120.53991,2163.230375,1063.228727,2253.70846,11183.27464,32432.84918,21758.37496,72302.35486,8418.269866,10048.35538,6573.799223,0
0min,AcetylCoA,2,14869619.29,4284278.301,7919.216104,4521.700079,0,12017.1066,5099.641837,14200.33264,0,0,0,47634.26504,64617.0041,2047.343578,0,0,0,13943.00747,132.0882073,56874.87775,5069.580596,6052.169774,0,0
0min,AcetylCoA,3,17232629.86,5028255.282,108798.633,5717.910898,0,0,2898.282234,7916.086296,6649.513982,2535.83915,0,21731.69618,48918.52155,6371.501798,0,0,0,38448.43768,23608.00034,87654.34775,16205.02297,6373.299401,2471.502035,0
120min,AcetylCoA,1,6930488.861,2120539.457,4937875.193,1259541.619,36952.31825,418896.802,189348.9955,447748.1949,194669.8519,35643.1427,16061.20418,82539.75132,49399.60457,2223.786738,0,835.8641421,541.4317667,13292.38307,9989.702496,35669.58014,2966.069785,1808.401365,0,0
120min,AcetylCoA,2,6893949.058,1737444.001,4298954.018,670289.1066,36525.52012,313839.4327,80174.15685,235577.1077,162626.5838,439142.0595,76745.46687,102698.8537,14569.21265,340424.5436,5867.10855,363866.7413,129155.8956,101077.1519,36398.09844,39112.40583,0,471912.8283,262694.8405,51037.08452
120min,AcetylCoA,3,6894035.116,2104493.013,5083953.903,1299776.635,106326.9633,472174.3229,131024.8471,317690.0883,92189.67229,12714.98812,0,78913.86863,85674.08589,2695.130552,0,5933.352709,6723.782139,18423.01939,9869.195618,71586.98245,7362.053526,4036.158795,2192.500225,0
1440min,AcetylCoA,1,1165796.174,337067.7188,3107769.96,992680.0406,893419.1122,5693536.037,7901743.367,23830025.62,23718781.58,15168475.68,7891612.276,1919250.396,79863.58935,4128.443165,0,0,0,0,0,858.8921327,0,0,0,0
1440min,AcetylCoA,2,985344.5115,377337.4235,2244273.547,649523.4569,829534.6783,7376787.722,8323832.051,22390627.27,18686839.99,11086997.92,5667325.416,1218104.39,33536.01741,2642.76171,0,20564.91753,0,3422.948404,0,3070.475914,2828.883105,49.93546248,0,0
1440min,AcetylCoA,3,1006104.849,294772.6801,2931173.746,875138.0013,1044421.927,8576447.517,10197272.05,28593634.13,25400867.28,15804703.61,8294705.912,1863224.957,98490.86727,39692.25144,8225.066854,56874.20521,25123.91167,19475.07783,9511.13676,0,0,2584.252667,0,0
15min,AcetylCoA,1,13783458.24,4117520.913,2865163.67,343039.5324,1926.389291,0,0,108.5627469,1124.977226,418.4845907,684.3902123,64116.72717,63688.87194,2245.050288,0,2171.54763,1120.378033,32076.95908,16362.24072,71197.99629,6966.720377,1935.951286,0,0
